PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PointMade,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,YEAR,Num
LeBron James,CLE,33,22,12,10,41.9,34,12.5,23.2,53.9,1.8,5.2,34.2,7.2,9.7,74.6,1.4,7.7,9.1,9,4.3,1.4,1,2.4,2018,1
LeBron James,LAL,35,21,16,5,762,580,214,382,56,44,119,37,108,150,72,28,198,226,184,84,26,18,40,2020,2
Anthony Davis,NOP,25,9,5,4,39.8,30.1,11.8,22.7,52,0.7,2.4,27.3,5.9,7.1,82.8,2.7,10.8,13.4,1.7,2.6,2,2.3,3.3,2018,1
Anthony Davis,LAL,27,21,16,5,769,582,205,359,57.1,23,60,38.3,149,179,83.2,55,149,204,73,53,26,30,56,2020,2
Jamal Murray,DEN,22,14,7,7,36.3,21.3,7.6,18,42.5,2,5.9,33.7,4,4.4,90.3,1.4,3,4.4,4.7,1.6,1,0.1,1.7,2019,1
Jamal Murray,DEN,23,19,9,10,753,504,186,368,50.5,62,137,45.3,70,78,89.7,20,72,92,126,53,18,6,42,2020,2
James Harden,HOU,29,11,6,5,38.6,31.6,9.9,24,41.3,4.4,12.5,35,7.5,8.9,83.7,0.8,6,6.8,6.6,4.6,2.2,0.9,3.7,2019,1
James Harden,HOU,30,12,5,7,448,355,109,228,47.8,39,117,33.3,98,116,84.5,12,55,67,92,45,18,10,43,2020,2
Kawhi Leonard,TOR,28,24,16,8,39.1,30.5,10.1,20.7,49,2.3,6,37.9,8,9,88.4,2.3,6.8,9.1,3.9,3.1,1.7,0.7,2.3,2019,1
Kawhi Leonard,LAC,29,13,7,6,511,367,131,268,48.9,24,73,32.9,81,94,86.2,24,97,121,72,33,30,11,29,2020,2
Jimmy Butler,PHI,29,12,7,5,35.1,19.4,6.6,14.6,45.1,1,3.8,26.7,5.3,6,87.5,1.8,4.2,6,5.2,1.8,1.5,0.6,1.7,2019,1
