PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PointMade,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,YEAR,Num
LeBron James,CLE,33,22,12,10,41.9,34,12.5,23.2,53.9,1.8,5.2,34.2,7.2,9.7,74.6,1.4,7.7,9.1,9,4.3,1.4,1,2.4,2018,1
LeBron James,LAL,35,21,16,5,36.3,27.6,10.2,18.2,56,2.1,5.7,37,5.1,7.1,72,1.3,9.4,10.8,8.8,4,1.2,0.9,1.9,2020,2
Anthony Davis,NOP,25,9,5,4,39.8,30.1,11.8,22.7,52,0.7,2.4,27.3,5.9,7.1,82.8,2.7,10.8,13.4,1.7,2.6,2,2.3,3.3,2018,1
Anthony Davis,LAL,27,21,16,5,36.6,27.7,9.8,17.1,57.1,1.1,2.9,38.3,7.1,8.5,83.2,2.6,7.1,9.7,3.5,2.5,1.2,1.4,2.7,2020,2
Jamal Murray,DEN,22,14,7,7,36.3,21.3,7.6,18,42.5,2,5.9,33.7,4,4.4,90.3,1.4,3,4.4,4.7,1.6,1,0.1,1.7,2019,1
Jamal Murray,DEN,23,19,9,10,39.6,26.5,9.8,19.4,50.5,3.3,7.2,45.3,3.7,4.1,89.7,1.1,3.8,4.8,6.6,2.8,0.9,0.3,2.2,2020,2
James Harden,HOU,29,11,6,5,38.6,31.6,9.9,24,41.3,4.4,12.5,35,7.5,8.9,83.7,0.8,6,6.8,6.6,4.6,2.2,0.9,3.7,2019,1
James Harden,HOU,30,12,5,7,37.3,29.6,9.1,19,47.8,3.3,9.8,33.3,8.2,9.7,84.5,1,4.6,5.6,7.7,3.8,1.5,0.8,3.6,2020,2
Kawhi Leonard,TOR,28,24,16,8,39.1,30.5,10.1,20.7,49,2.3,6,37.9,8,9,88.4,2.3,6.8,9.1,3.9,3.1,1.7,0.7,2.3,2019,1
Kawhi Leonard,LAC,29,13,7,6,39.3,28.2,10.1,20.6,48.9,1.8,5.6,32.9,6.2,7.2,86.2,1.8,7.5,9.3,5.5,2.5,2.3,0.8,2.2,2020,2
Jimmy Butler,PHI,29,12,7,5,35.1,19.4,6.6,14.6,45.1,1,3.8,26.7,5.3,6,87.5,1.8,4.2,6,5.2,1.8,1.5,0.6,1.7,2019,1
Jimmy Butler,MIA,30,21,14,7,38.4,22.2,6.9,14,48.8,0.7,2,34.9,7.8,9.1,85.9,2.2,4.3,6.5,6,2.8,2,0.7,1.8,2020,2
Nikola Jokic,DEN,24,14,7,7,39.7,25.1,9.4,18.6,50.6,1.6,4,39.3,4.7,5.6,84.6,3.9,9.1,13,8.4,2.6,1.1,0.9,3.9,2019,1
Nikola Jokic,DEN,25,19,9,10,36.5,24.4,9.4,18.1,51.9,2.2,5.2,42.9,3.5,4.2,83.5,1.9,7.9,9.8,5.7,3.3,1.1,0.8,3.6,2020,2
Jayson Tatum,BOS,21,9,5,4,32.8,15.2,5.4,12.4,43.8,1.1,3.4,32.3,3.2,4.3,74.4,0.8,5.9,6.7,1.9,2,1.1,0.8,2.3,2019,1
Jayson Tatum,BOS,22,17,10,7,40.6,25.7,8.5,19.6,43.4,2.8,7.4,37.3,5.9,7.2,81.3,1.3,8.7,10,5,2.8,1,1.2,2.4,2020,2
