year,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,player_id,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height,weight,rounded_position,rounded_age
2004,CLE,LeBron James,19,79,3122,18.3,0.488,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,,2.4,2.6,5.1,0.078,,2.2,-0.3,1.9,3.1,0.037,0.041,24.3,jamesle01,-3.43,19855,82,0.187,0.498,342334,0.501,2.57,0.41,0.22,-1.85,1.37,2.5,0.786,1.97,-1.25,-0.57,1.9,2.0,1.5,3.1,0.6,0.4,0.7,0.2,0.7,2.6,2.0,-1.6,0.1,-0.4,-1.8,2.2,1.4,1.7,3.0,-0.2,1.5,-0.2,0.1,2.4,0.8,39.5,37.6,1.9,1.5,3.1,3.2,2.2,1.7,3.0,3.2,-0.2,-0.2,0.1,0.1,15200000,15700000,1.9,1.9,0.73,2.8,14000000,2.9,14000000,8.3,8.2,0.1,7.7,2.8,2.0,19.09,0,80,240,3,19
2005,CLE,LeBron James,20,80,3388,25.7,0.554,0.183,0.378,3.8,17.0,10.2,32.9,2.8,1.1,11.8,29.7,,9.7,4.6,14.3,0.203,,6.7,1.0,7.8,8.3,0.138,0.065,26.2,jamesle01,0.33,19855,82,0.196,0.518,345626,0.505,4.8,1.23,0.44,1.1,1.74,8.87,0.853,7.57,2.97,-0.51,8.4,2.0,7.1,8.8,1.1,0.5,4.3,0.4,0.9,7.3,6.2,0.6,2.9,-0.4,-0.3,6.9,1.3,5.9,7.3,1.5,1.5,1.3,1.5,5.4,0.9,42.4,40.3,8.4,7.1,8.8,9.1,6.9,5.9,7.3,7.5,1.5,1.3,1.5,1.6,41300000,42300000,3.0,6.0,0.73,5.8,27300000,7.5,35200000,23.9,19.7,4.1,20.3,2.8,3.0,20.09,1,80,240,3,20
2006,CLE,LeBron James,21,79,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2.0,1.5,10.7,33.6,,12.0,4.3,16.3,0.232,,7.8,0.9,8.6,9.0,0.171,0.061,30.0,jamesle01,2.42,19830,82,0.202,0.538,344101,0.526,4.45,0.56,0.43,1.98,1.69,8.68,0.847,7.36,0.0,0.58,9.3,2.0,7.9,9.5,0.8,0.5,5.5,0.2,0.9,7.9,6.7,1.5,1.9,0.0,0.9,7.9,1.3,6.7,8.1,1.4,1.5,1.2,1.4,6.5,0.8,42.5,40.5,9.3,7.9,9.5,9.9,7.9,6.7,8.1,8.4,1.4,1.2,1.4,1.5,43900000,45500000,3.4,6.6,0.73,6.2,29100000,8.2,37700000,25.8,21.9,3.8,22.0,2.8,3.0,21.09,2,80,240,3,21
2007,CLE,LeBron James,22,78,3190,24.5,0.552,0.191,0.432,3.0,16.6,9.6,29.1,2.1,1.3,11.5,31.0,,8.0,5.7,13.7,0.206,,5.3,1.6,6.9,7.1,0.12,0.086,27.4,jamesle01,3.52,19880,82,0.212,0.522,344315,0.512,3.72,0.59,0.36,1.06,1.58,6.95,0.802,5.58,2.03,0.44,7.4,2.0,5.9,7.5,0.7,0.5,4.1,0.2,0.8,6.3,5.1,-1.3,2.9,-0.9,4.8,5.4,1.4,4.3,5.7,2.0,1.5,1.6,1.8,3.4,0.8,40.9,38.9,7.4,5.9,7.5,7.9,5.4,4.3,5.7,6.0,2.0,1.6,1.8,1.9,35500000,37300000,3.2,5.5,0.73,5.4,25900000,6.8,32200000,20.3,15.4,4.9,18.4,2.9,3.0,22.09,3,80,240,3,22
2008,CLE,LeBron James,23,75,3027,29.1,0.568,0.219,0.47,4.9,17.8,11.1,37.3,2.4,2.1,11.4,33.5,,10.7,4.6,15.2,0.242,,8.8,1.6,10.4,9.4,0.169,0.073,29.7,jamesle01,-0.65,19853,82,0.222,0.52,344964,0.503,6.39,1.35,0.55,2.85,1.49,12.07,0.762,9.2,3.39,-0.83,11.2,2.1,8.6,10.1,1.9,0.6,6.5,0.3,0.8,10.0,7.6,-1.6,3.4,-1.1,0.9,9.0,1.4,6.8,8.1,2.3,1.5,1.7,2.0,6.7,0.8,40.4,38.3,11.2,8.6,10.1,11.0,9.0,6.8,8.1,8.9,2.3,1.7,2.0,2.1,46600000,50800000,2.5,7.2,0.73,6.7,31300000,9.6,44300000,27.3,22.0,5.3,25.9,2.8,3.0,23.09,4,80,240,3,23
2009,CLE,LeBron James,24,81,3054,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,0.318,,9.4,2.9,12.2,11.0,0.216,0.102,30.1,jamesle01,9.8,19782,82,0.224,0.56,346254,0.549,6.95,1.5,0.52,2.21,1.19,11.85,0.772,9.14,6.07,1.14,13.0,2.1,10.0,11.6,1.9,0.6,6.1,0.2,0.6,9.4,7.2,4.2,5.0,0.0,5.6,9.4,1.4,7.3,8.6,3.6,1.5,2.8,3.0,5.8,0.8,37.7,35.9,13.0,10.0,11.6,11.7,9.4,7.3,8.6,8.7,3.6,2.8,3.0,3.0,54500000,55200000,3.5,8.7,0.73,7.7,36700000,10.9,51300000,31.2,23.1,8.1,29.3,2.9,3.0,24.09,5,80,240,3,24
2010,CLE,LeBron James,25,76,2966,31.1,0.604,0.253,0.506,3.0,18.5,11.1,41.8,2.2,2.0,12.3,33.5,,13.3,5.2,18.5,0.299,,9.8,2.1,11.8,10.4,0.215,0.084,29.4,jamesle01,6.82,19780,82,0.222,0.57,342501,0.558,7.09,1.06,0.6,2.08,1.35,11.58,0.75,8.68,3.53,0.93,12.5,2.1,9.4,10.9,1.7,0.6,6.2,0.2,0.7,9.5,7.1,3.9,3.5,0.2,2.9,9.7,1.4,7.3,8.6,2.8,1.5,2.1,2.3,6.9,0.7,39.0,37.1,12.5,9.4,10.9,11.7,9.7,7.3,8.6,9.2,2.8,2.1,2.3,2.5,51900000,55900000,3.3,8.3,0.73,7.5,36000000,10.5,50200000,29.4,23.1,6.2,28.4,2.7,3.0,25.09,6,80,240,3,25
2011,MIA,LeBron James,26,79,3063,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,,10.3,5.3,15.6,0.244,,6.5,1.6,8.2,7.9,0.161,0.083,27.2,jamesle01,7.49,19781,82,0.222,0.573,341990,0.566,5.82,0.5,0.43,-0.27,1.39,7.45,0.774,5.77,3.39,1.12,8.6,2.1,6.6,8.2,1.4,0.5,3.2,0.2,0.7,6.0,4.6,4.4,2.6,0.5,3.1,6.5,1.4,5.0,6.4,2.1,1.5,1.6,1.8,4.4,0.8,38.8,36.9,8.6,6.6,8.2,8.5,6.5,5.0,6.4,6.6,2.1,1.6,1.8,1.9,39300000,40800000,3.3,6.2,0.73,5.9,28800000,7.7,36900000,22.1,17.2,4.9,20.7,2.9,3.0,26.09,7,80,240,3,26
2012,MIA,LeBron James,27,62,2326,30.7,0.605,0.127,0.429,5.0,19.7,12.6,33.6,2.6,1.7,13.3,32.0,,10.0,4.5,14.5,0.298,,8.0,2.1,10.2,8.8,0.206,0.092,27.7,jamesle01,6.26,16039,66,0.226,0.549,274467,0.532,6.39,1.17,0.47,1.44,1.34,10.33,0.725,7.49,4.46,0.61,10.9,2.1,7.9,9.4,1.8,0.6,4.7,0.3,0.7,8.0,5.8,2.6,1.9,0.2,3.7,8.3,1.4,6.0,7.2,2.7,1.6,2.0,2.2,5.6,0.7,37.5,35.2,10.9,7.9,9.4,10.0,8.3,6.0,7.2,7.7,2.7,2.0,2.2,2.3,43900000,46700000,2.8,7.1,0.73,6.6,31200000,9.4,43900000,25.3,19.5,5.9,25.3,3.0,3.0,27.09,8,80,240,3,27
2013,MIA,LeBron James,28,76,2877,31.6,0.64,0.188,0.395,4.4,20.8,13.1,36.4,2.4,1.9,12.4,30.2,,14.6,4.7,19.3,0.322,,9.0,1.8,10.8,9.2,0.244,0.078,26.5,jamesle01,7.75,19881,82,0.243,0.587,343073,0.572,6.93,1.01,0.53,1.59,1.35,10.88,0.724,7.87,5.88,0.68,11.6,2.1,8.4,9.8,1.8,0.6,5.0,0.2,0.7,8.4,6.0,6.7,4.0,0.8,1.1,9.2,1.4,6.6,7.9,2.4,1.5,1.7,2.0,6.8,0.7,37.9,36.0,11.6,8.4,9.8,10.6,9.2,6.6,7.9,8.5,2.4,1.7,2.0,2.1,46300000,49900000,3.2,7.7,0.73,7.0,33600000,9.8,46400000,26.5,21.2,5.3,26.5,3.0,4.0,28.09,9,80,240,3,28
