year,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,player_id,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height,weight,rounded_position,rounded_age
1985,CHI,Michael Jordan,21,82,3144,25.8,0.592,0.032,0.459,6.3,13.2,9.8,25.3,3.0,1.3,13.0,29.8,,10.3,3.7,14.0,0.213,,6.5,1.1,7.6,7.6,0.157,0.056,25.9,jordami01,-0.59,19805,82,0.035,0.556,334830,0.544,3.59,1.71,0.31,1.16,1.34,7.79,0.794,6.18,-2.61,0.38,8.2,2.0,6.5,8.1,1.1,0.5,3.6,0.5,0.7,6.4,5.1,1.0,-0.4,0.3,-1.6,6.7,1.4,5.3,6.7,1.4,1.5,1.1,1.4,5.3,0.8,38.3,36.6,8.2,6.5,8.1,8.1,6.7,5.3,6.7,6.7,1.4,1.1,1.4,1.4,38700000,38700000,2.1,5.4,0.73,5.4,26100000,7.4,35500000,21.8,18.1,3.7,19.9,2.0,2.0,21.96,0,78,195,2,22
1986,CHI,Michael Jordan,22,18,451,27.5,0.533,0.055,0.381,5.6,10.7,8.0,21.7,3.9,2.7,10.5,38.6,,1.0,0.5,1.5,0.16,,5.0,-0.8,4.2,0.7,0.107,0.053,34.5,jordami01,-3.11,19855,82,0.038,0.538,338697,0.539,2.07,3.54,0.15,0.03,-0.59,5.05,0.114,0.57,-1.86,-0.37,4.7,2.8,0.5,0.8,0.7,0.3,3.4,0.7,-0.3,4.8,0.5,2.3,1.2,0.3,-5.4,5.1,1.9,0.6,0.8,-0.5,2.0,-0.1,0.0,5.6,0.1,25.1,20.5,4.7,0.5,0.8,3.5,5.1,0.6,0.8,3.5,-0.5,-0.1,0.0,-0.1,4600000.0,17200000,-1.7,0.8,0.63,1.8,9400000.0,4.2,20700000,2.0,2.1,0.0,11.4,2.0,2.0,22.96,1,78,195,2,23
1987,CHI,Michael Jordan,23,82,3281,29.8,0.562,0.029,0.427,5.6,9.3,7.4,22.2,3.6,2.3,9.1,38.3,,11.9,5.0,16.9,0.247,,7.4,0.4,7.8,8.1,0.174,0.073,34.8,jordami01,1.3,19830,82,0.053,0.528,343767,0.511,1.93,2.91,0.26,3.03,1.51,9.38,0.827,7.76,5.31,-0.75,8.6,2.0,7.1,8.8,0.7,0.5,6.3,0.6,0.8,8.8,7.3,0.7,4.8,-0.8,0.6,8.0,1.3,6.6,8.0,0.6,1.5,0.5,0.8,7.4,0.8,40.0,38.2,8.6,7.1,8.8,8.8,8.0,6.6,8.0,8.0,0.6,0.5,0.8,0.8,41100000,41100000,2.7,6.0,0.73,5.8,27300000,7.7,36100000,23.7,21.6,2.1,20.8,1.9,2.0,23.96,2,78,195,2,24
1988,CHI,Michael Jordan,24,82,3311,31.7,0.603,0.027,0.43,4.8,10.7,7.8,27.0,3.9,2.4,9.6,34.1,,15.2,6.1,21.2,0.308,,9.2,1.9,11.0,10.9,0.22,0.088,30.8,jordami01,3.94,19855,82,0.057,0.539,342929,0.511,2.88,3.35,0.42,4.57,1.57,12.36,0.834,10.31,5.82,-0.22,12.1,2.0,10.1,11.8,0.8,0.6,7.5,0.7,0.8,10.4,8.7,1.1,4.4,-0.6,2.8,9.8,1.3,8.2,9.6,2.3,1.5,2.0,2.2,7.5,0.8,40.4,38.5,12.1,10.1,11.8,11.8,9.8,8.2,9.6,9.6,2.3,2.0,2.2,2.2,55100000,55100000,3.2,8.1,0.73,7.3,34600000,10.3,48100000,31.8,25.9,6.0,27.7,1.8,2.0,24.96,3,78,195,2,25
1989,CHI,Michael Jordan,25,81,3255,31.1,0.614,0.055,0.442,5.5,17.3,11.6,34.7,3.6,1.2,11.9,32.1,,14.6,5.2,19.8,0.292,,9.5,2.1,11.6,11.2,0.215,0.077,28.3,jordami01,2.11,19780,82,0.074,0.553,338684,0.53,6.0,2.22,0.54,3.38,1.5,13.11,0.823,10.78,5.29,-0.55,12.6,2.0,10.3,12.0,1.6,0.6,6.7,0.6,0.8,10.3,8.5,1.5,4.3,-0.5,0.6,9.8,1.3,8.1,9.5,2.7,1.5,2.3,2.5,7.1,0.8,40.2,38.3,12.6,10.3,12.0,12.1,9.8,8.1,9.5,9.6,2.7,2.3,2.5,2.5,54300000,55000000,2.8,8.2,0.73,7.4,33900000,10.6,48000000,32.3,25.6,6.8,28.5,1.9,2.0,25.96,4,78,195,2,26
1990,CHI,Michael Jordan,26,82,3197,31.2,0.606,0.125,0.356,5.3,15.6,10.4,28.6,3.5,1.1,9.8,33.7,,14.7,4.3,19.0,0.285,,9.4,0.4,9.7,9.5,0.221,0.064,30.4,jordami01,2.91,19830,82,0.076,0.559,343551,0.54,4.25,2.15,0.42,3.74,1.32,11.46,0.806,9.24,8.03,-0.91,10.6,2.0,8.5,10.1,1.1,0.6,6.9,0.6,0.7,9.9,8.0,4.0,5.6,-0.2,-1.1,9.7,1.4,7.8,9.2,0.8,1.5,0.7,0.9,8.9,0.8,39.0,37.2,10.6,8.5,10.1,10.1,9.7,7.8,9.2,9.2,0.8,0.7,0.9,0.9,46100000,46100000,2.7,7.0,0.73,6.5,30100000,9.1,41600000,27.3,24.9,2.4,24.6,1.9,2.0,26.96,5,78,195,2,27
1991,CHI,Michael Jordan,27,82,3034,31.6,0.605,0.051,0.365,4.6,14.3,9.5,25.2,3.7,1.7,8.7,32.9,,14.9,5.4,20.3,0.321,,8.5,1.4,9.9,9.1,0.236,0.085,30.0,jordami01,8.94,19755,82,0.082,0.56,344343,0.544,3.08,2.67,0.33,3.13,1.09,9.96,0.768,7.64,6.72,0.8,10.8,2.1,8.3,9.8,0.7,0.5,6.0,0.7,0.6,8.3,6.4,6.5,4.9,0.6,2.4,8.9,1.4,6.9,8.2,1.8,1.5,1.4,1.6,7.1,0.8,37.0,35.3,10.8,8.3,9.8,9.8,8.9,6.9,8.2,8.2,1.8,1.4,1.6,1.6,45100000,45100000,3.2,7.3,0.73,6.8,31400000,9.2,42600000,26.5,22.0,4.4,25.0,2.0,2.0,27.96,6,78,195,2,28
1992,CHI,Michael Jordan,28,80,3102,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3.0,1.5,8.8,31.7,,12.1,5.6,17.7,0.274,,6.7,1.3,8.0,7.8,0.187,0.087,28.9,jordami01,10.61,19830,82,0.088,0.556,349792,0.548,2.85,1.61,0.28,1.64,1.29,7.39,0.782,5.78,6.56,1.23,8.6,2.0,6.7,8.3,0.3,0.4,4.4,0.4,0.7,6.3,4.9,7.4,5.4,0.7,3.2,6.9,1.4,5.4,6.8,1.7,1.5,1.3,1.5,5.3,0.8,38.8,36.9,8.6,6.7,8.3,8.5,6.9,5.4,6.8,6.9,1.7,1.3,1.5,1.6,39100000,40000000,3.8,6.4,0.73,6.1,29000000,7.7,36300000,22.4,18.3,4.2,20.8,2.0,2.0,28.96,7,78,195,2,29
1993,CHI,Michael Jordan,29,78,3067,29.7,0.564,0.115,0.284,4.9,15.1,9.8,25.2,3.7,1.3,8.4,34.7,,12.0,5.2,17.2,0.27,,7.9,0.9,8.8,8.3,0.188,0.082,31.8,jordami01,6.51,19830,82,0.104,0.535,348758,0.524,3.06,2.4,0.3,2.89,1.37,9.72,0.773,7.51,8.94,-0.23,9.5,2.1,7.3,8.9,0.7,0.5,5.9,0.7,0.7,8.5,6.5,4.9,6.9,-0.2,1.6,8.3,1.4,6.4,7.7,1.2,1.5,0.9,1.2,7.1,0.8,39.3,37.4,9.5,7.3,8.9,9.3,8.3,6.4,7.7,8.1,1.2,0.9,1.2,1.2,41600000,43700000,3.3,6.7,0.73,6.3,29700000,8.3,39000000,24.0,20.8,3.2,22.5,2.0,2.0,29.96,8,78,195,2,30
1995,CHI,Michael Jordan,31,17,668,22.1,0.493,0.079,0.337,4.4,16.2,10.3,24.2,2.3,1.5,7.0,33.2,,1.2,1.1,2.3,0.167,,2.0,0.4,2.5,0.8,0.087,0.08,30.9,jordami01,4.49,19830,82,0.188,0.546,338957,0.55,2.94,0.65,0.05,-1.77,0.68,2.5,0.168,0.42,4.47,0.18,2.7,2.6,0.5,0.8,0.5,0.2,1.1,0.2,0.4,2.4,0.4,1.1,3.3,-0.4,3.4,2.0,1.7,0.3,0.6,0.7,1.9,0.1,0.2,1.3,0.2,39.3,31.8,2.7,0.5,0.8,3.8,2.0,0.3,0.6,3.0,0.7,0.1,0.2,0.8,4600000.0,18400000,1.8,2.2,0.73,3.0,14900000,3.4,16600000,2.1,1.7,0.4,9.2,2.1,2.0,31.96,9,78,195,2,32
