year,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,player_id,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height,weight,rounded_position,rounded_age
1978,NOJ,Truck Robinson,26,82,3638,15.7,0.481,,0.34,8.0,25.8,17.0,6.8,0.9,1.1,13.5,23.3,,1.5,5.0,6.5,0.086,,-1.4,0.2,-1.2,0.7,0.02,0.066,20.2,robintr01,-1.61,19780,82,0.0,0.505,331339,0.512,-1.73,-1.12,-0.16,-0.37,2.0,-1.21,0.92,-1.12,-1.28,-0.13,-1.3,2.0,-1.2,0.6,-1.0,0.2,-0.7,-0.3,1.0,-0.8,-0.7,-1.9,1.1,-0.7,0.3,-1.5,1.3,-1.4,0.2,0.1,1.5,0.1,0.4,-1.6,0.9,44.4,42.3,-1.3,-1.2,0.6,0.6,-1.5,-1.4,0.2,0.2,0.1,0.1,0.4,0.4,3900000.0,3900000.0,3.2,0.7,0.6,1.6,8800000.0,0.4,2900000.0,1.6,0.6,1.1,1.1,3.6,4.0,26.33,3,79,225,4,26
1978,BUF,Randy Smith,29,82,3314,19.1,0.521,,0.326,3.6,6.4,5.0,22.2,2.4,0.2,12.8,26.8,,6.1,1.7,7.9,0.114,,2.8,-1.2,1.6,3.0,0.089,0.025,23.4,smithra01,-3.25,19805,82,0.0,0.518,332955,0.517,0.52,0.29,0.17,-0.19,1.54,2.16,0.837,1.81,-1.89,-0.4,1.8,2.0,1.5,3.1,0.1,0.4,1.9,0.3,0.8,3.4,2.8,-0.5,1.1,-0.3,-2.8,3.1,1.3,2.6,4.0,-1.3,1.5,-1.1,-0.8,4.4,0.8,40.4,38.5,1.8,1.5,3.1,3.1,3.1,2.6,4.0,4.0,-1.3,-1.1,-0.8,-0.8,16200000,16200000,2.1,1.9,0.73,2.8,14800000,2.7,14200000,8.5,10.8,-2.3,7.4,1.0,2.0,29.14,6,75,180,1,29
1978,WSB,Elvin Hayes,32,81,3246,17.1,0.489,,0.365,10.2,22.7,16.4,6.5,1.3,2.4,12.3,21.6,,3.5,4.8,8.3,0.123,,0.1,1.2,1.3,2.7,0.052,0.071,18.9,hayesel01,0.7,19830,82,0.0,0.506,336086,0.51,-1.31,0.08,-0.14,0.5,1.49,0.76,0.818,0.62,-2.05,0.58,1.3,2.0,1.1,2.7,-0.3,0.2,-0.2,-0.2,0.8,0.3,0.2,0.4,1.4,-0.2,0.3,0.1,1.3,0.1,1.5,1.3,1.5,1.0,1.3,-1.2,0.8,40.1,38.2,1.3,1.1,2.7,2.8,0.1,0.1,1.5,1.5,1.3,1.0,1.3,1.3,14200000,14400000,2.6,1.9,0.73,2.8,14700000,2.4,12700000,7.4,3.9,3.4,6.5,4.2,4.0,32.21,9,81,235,4,32
1978,BOS,Dave Cowens,29,77,3215,18.6,0.533,,0.233,8.0,25.6,17.0,15.7,1.4,1.1,13.9,18.8,,6.1,4.8,10.8,0.162,,1.8,2.1,4.0,4.8,0.091,0.071,16.2,cowenda01,-1.68,19830,82,0.0,0.505,332440,0.5,2.36,-0.49,0.12,1.06,1.68,4.61,0.811,3.74,-0.9,-0.22,4.4,2.0,3.6,5.2,0.4,0.4,1.2,-0.1,0.9,2.6,2.1,-1.7,1.6,-0.7,0.1,1.9,1.3,1.5,2.9,2.5,1.5,2.0,2.3,-0.6,0.8,41.8,39.7,4.4,3.6,5.2,5.5,1.9,1.5,2.9,3.1,2.5,2.0,2.3,2.4,26100000,27700000,2.6,3.6,0.73,4.0,20600000,4.6,23400000,14.0,7.9,6.1,12.5,3.9,5.0,29.27,7,81,230,4,29
1978,NYK,Bob McAdoo,26,79,3182,22.0,0.567,,0.412,7.8,24.7,16.4,13.4,1.4,2.0,15.8,26.1,,6.9,4.0,10.9,0.165,,2.4,0.8,3.1,4.1,0.104,0.061,22.0,mcadobo01,-0.47,20005,82,0.0,0.528,333391,0.518,1.37,-0.01,0.11,0.75,1.51,3.62,0.795,2.88,0.53,-0.22,3.4,2.0,2.7,4.3,0.1,0.4,1.5,-0.2,0.8,2.6,2.0,0.8,1.3,-0.1,-1.3,2.5,1.4,2.0,3.3,0.9,1.5,0.7,1.0,1.6,0.8,40.3,38.3,3.4,2.7,4.3,4.5,2.5,2.0,3.3,3.5,0.9,0.7,1.0,1.0,21800000,22600000,2.5,3.0,0.73,3.6,18500000,3.9,19900000,11.6,9.0,2.6,10.6,3.6,5.0,26.36,5,81,210,4,26
1978,NJN,Bernard King,21,79,3092,17.3,0.511,,0.277,7.9,16.0,11.8,9.9,1.7,0.6,14.3,26.0,,2.6,3.3,5.9,0.092,,1.0,0.0,0.9,2.3,0.041,0.051,22.3,kingbe01,-4.89,19905,82,0.0,0.485,332793,0.478,-0.22,-0.38,0.02,0.76,1.38,1.54,0.777,1.2,-3.01,-0.57,1.0,2.0,0.8,2.3,0.1,0.3,1.2,0.0,0.7,2.3,1.8,-5.7,-1.2,-1.1,0.8,1.2,1.4,0.9,2.2,-0.2,1.5,-0.1,0.1,1.3,0.8,39.1,37.3,1.0,0.8,2.3,2.4,1.2,0.9,2.2,2.3,-0.2,-0.1,0.1,0.1,12200000,12600000,1.6,1.3,0.69,2.3,11900000,2.1,10900000,6.2,6.0,0.2,5.5,2.8,3.0,21.16,0,79,205,3,21
1978,CHI,Artis Gilmore,28,82,3067,23.5,0.604,,0.531,11.3,26.6,19.0,14.0,0.6,3.2,19.1,25.3,,7.8,3.7,11.5,0.18,,3.2,1.0,4.2,4.8,0.122,0.058,20.5,gilmoar01,-0.79,19755,82,0.0,0.524,327657,0.505,2.58,-0.38,0.22,1.38,1.18,4.77,0.776,3.7,0.11,-0.21,4.6,2.1,3.5,5.1,1.0,0.5,1.9,-0.5,0.6,3.4,2.7,1.2,1.9,-0.1,-2.0,3.3,1.4,2.6,3.9,1.2,1.5,0.9,1.2,2.1,0.8,37.4,35.7,4.6,3.5,5.1,5.1,3.3,2.6,3.9,3.9,1.2,0.9,1.2,1.2,25600000,25600000,1.9,3.3,0.73,3.9,19700000,4.8,24000000,13.7,10.6,3.2,12.8,5.0,5.0,28.36,6,86,240,5,28
1978,DEN,David Thompson,23,80,3025,23.2,0.578,,0.422,5.5,7.7,6.6,19.3,1.3,1.7,11.5,26.8,,10.8,1.9,12.7,0.202,,4.6,-1.4,3.2,4.0,0.172,0.03,23.7,thompda01,0.75,19830,82,0.0,0.531,329852,0.517,1.1,-0.29,0.24,2.12,1.23,4.15,0.763,3.17,3.43,-0.51,3.6,2.1,2.8,4.3,0.6,0.5,3.8,-0.2,0.6,5.3,4.0,1.4,2.5,-0.2,-0.6,5.1,1.4,3.9,5.2,-1.5,1.5,-1.1,-0.9,6.6,0.8,37.8,36.0,3.6,2.8,4.3,4.4,5.1,3.9,5.2,5.3,-1.5,-1.1,-0.9,-0.9,21800000,22400000,2.2,3.0,0.73,3.6,18500000,4.1,20800000,11.6,14.1,-2.4,11.1,1.6,2.0,23.56,2,76,195,2,24
1978,GSW,Rick Barry,33,82,3024,20.9,0.509,,0.243,2.5,12.8,7.5,22.6,2.4,0.8,10.7,27.1,,5.9,3.8,9.7,0.154,,2.5,0.2,2.8,3.7,0.094,0.06,24.2,barryri01,0.35,19780,82,0.0,0.508,336026,0.507,1.23,0.61,0.17,0.3,1.12,3.26,0.764,2.49,1.22,-0.16,3.1,2.1,2.4,3.9,-0.2,0.4,2.5,0.2,0.6,3.5,2.7,-1.3,2.3,-0.8,1.6,2.7,1.4,2.1,3.4,0.4,1.5,0.3,0.5,2.3,0.8,36.9,35.2,3.1,2.4,3.9,3.9,2.7,2.1,3.4,3.4,0.4,0.3,0.5,0.5,19900000,19900000,1.9,2.6,0.73,3.3,17000000,3.7,18900000,10.5,9.1,1.4,10.0,2.2,3.0,33.85,11,79,205,2,34
1978,IND,Ricky Sobers,25,79,3019,15.4,0.514,,0.328,2.9,7.8,5.3,27.7,2.5,0.4,20.1,21.8,,2.4,2.4,4.8,0.076,,0.8,-0.4,0.4,1.8,0.038,0.038,17.4,soberri01,-2.13,19830,82,0.0,0.5,335032,0.497,1.37,0.52,0.29,-2.01,1.27,1.16,0.761,0.88,1.39,-0.79,0.4,2.1,0.3,1.8,0.2,0.4,0.1,0.3,0.7,1.6,1.3,-1.2,2.5,-0.8,-0.9,0.9,1.4,0.6,1.9,-0.5,1.5,-0.4,-0.1,1.3,0.8,38.2,36.4,0.4,0.3,1.8,1.9,0.9,0.6,1.9,2.0,-0.5,-0.4,-0.1,-0.1,9700000.0,10100000,1.8,1.0,0.66,2.0,10700000,1.6,8500000.0,4.9,5.2,-0.4,4.2,1.1,1.0,25.05,2,75,198,1,25
