year,tm,player,age,g,mp,per,ts,3par,ftr,orb,drb,trb,ast,stl,blk,tov,usg,column_s,ows,dws,ws,ws_48,column_x,obpm,dbpm,bpm,vorp,ows_48,dws_48,shot,player_id,team_mar,team_mp,team_gm,year_3par,team_ts,tm_usg,tm_ts_w_o_plyr,reb_vers,defense,val_shot,offense,mpg_int,raw_spm,min,raw_contrib,tm_sum,tm_adj,bpm_2,stderr,contrib,vorp_2,reb_vers_2,val_shot_2,offense_2,defense_2,mpg,raw_obpm,contrib_2,tm_ortg,tm_sum_2,tm_adj_2,tm_drtg,obpm_2,ostderr,ocontrib,ovorp,dbpm_2,dstderr,dcontrib,dvorp,sum_spm,min_2,mpg_2,rempg,bpm_3,contrib_3,vorp_3,vorp_gm,o_bpm,ocontrib_2,ovorp_2,ovorp_gm,d_bpm,dcontrib_2,dvorp_2,dvorp_gm,production,prod_gm,exp_bpm,truetalentbpm,exp_min,truetalentvorp,truesalary,truetimevorp,adjusted_production,worp,o_worp,d_worp,adjusted_worp,estimated_position,bbref_pos,age_on_feb_1,yrs_experience,height,weight,rounded_position,rounded_age
2009,CLE,LeBron James,24,81,3054,31.7,0.591,0.238,0.472,4.3,19.0,11.9,38.0,2.4,2.4,11.0,33.8,,13.7,6.5,20.3,0.318,,9.4,2.9,12.2,11.0,0.216,0.102,30.1,jamesle01,9.8,19782,82,0.224,0.56,346254,0.549,6.95,1.5,0.52,2.21,1.19,11.85,0.772,9.14,6.07,1.14,13.0,2.1,10.0,11.6,1.9,0.6,6.1,0.2,0.6,9.4,7.2,4.2,5.0,0.0,5.6,9.4,1.4,7.3,8.6,3.6,1.5,2.8,3.0,5.8,0.8,37.7,35.9,13.0,10.0,11.6,11.7,9.4,7.3,8.6,8.7,3.6,2.8,3.0,3.0,54500000,55200000,3.5,8.7,0.73,7.7,36700000,10.9,51300000,31.2,23.1,8.1,29.3,2.9,3.0,24.09,5,80,240,3,24
2009,CLE,Mo Williams,26,81,2834,17.2,0.588,0.373,0.202,2.1,9.4,5.9,20.1,1.3,0.3,12.7,23.4,,6.1,3.7,9.8,0.165,,2.8,-0.4,2.4,3.1,0.103,0.062,20.4,willima01,9.8,19782,82,0.224,0.56,346254,0.554,0.61,-1.0,0.24,0.7,0.87,1.17,0.716,0.84,6.07,1.14,2.3,2.1,1.7,3.1,-0.1,0.5,2.2,0.0,0.5,3.0,2.2,4.2,5.0,0.0,5.6,3.0,1.4,2.2,3.4,-0.7,1.5,-0.5,-0.3,3.8,0.7,35.0,33.3,2.3,1.7,3.1,3.1,3.0,2.2,3.4,3.4,-0.7,-0.5,-0.3,-0.3,15300000,15500000,2.9,2.6,0.73,3.3,16400000,3.1,15500000,8.3,9.2,-0.8,8.4,1.0,1.0,26.12,5,73,185,1,26
2009,CLE,Anderson Varejao,26,81,2306,14.6,0.565,0.004,0.496,8.9,20.6,15.0,5.4,1.8,2.3,11.5,14.2,,3.3,4.7,8.0,0.166,,-1.2,2.7,1.6,2.1,0.068,0.098,12.6,varejan01,9.8,19782,82,0.224,0.56,346254,0.559,-1.64,0.69,-0.18,1.36,0.1,0.51,0.583,0.3,6.07,1.14,1.6,2.1,1.0,2.1,-0.3,0.2,-1.1,0.0,0.1,-1.2,-0.7,4.2,5.0,0.0,5.6,-1.2,1.4,-0.7,0.3,2.8,1.6,1.6,1.8,-4.0,0.6,28.5,27.1,1.6,1.0,2.1,2.2,-1.2,-0.7,0.3,0.3,2.8,1.6,1.8,1.8,10800000,10900000,1.6,1.6,0.73,2.6,13200000,2.6,13200000,5.7,0.8,4.9,7.1,4.3,4.0,26.35,4,82,230,4,26
2009,CLE,Delonte West,25,64,2152,14.1,0.559,0.365,0.173,1.8,9.2,5.6,16.6,2.4,0.5,12.0,16.7,,3.0,3.4,6.4,0.142,,0.9,1.3,2.3,2.3,0.067,0.075,14.7,westde01,9.8,19782,82,0.224,0.56,346254,0.56,-0.3,0.49,0.11,0.3,0.66,1.15,0.544,0.62,6.07,1.14,2.3,2.1,1.2,2.3,-0.4,0.4,0.4,0.3,0.3,1.1,0.6,4.2,5.0,0.0,5.6,1.1,1.4,0.6,1.5,1.2,1.6,0.7,0.8,-0.2,0.5,33.6,31.6,2.3,1.2,2.3,3.0,1.1,0.6,1.5,1.9,1.2,0.7,0.8,1.1,11800000,14800000,2.6,2.4,0.73,3.2,15800000,3.1,15400000,6.3,4.0,2.2,8.4,1.3,2.0,25.52,4,76,180,1,26
2009,CLE,Daniel Gibson,22,75,1795,10.1,0.519,0.537,0.163,2.1,7.9,5.1,11.3,1.3,0.7,9.7,16.5,,1.5,2.3,3.8,0.101,,-0.3,-0.1,-0.4,0.7,0.04,0.061,14.9,gibsoda01,9.8,19782,82,0.224,0.56,346254,0.563,-1.56,-0.79,-0.02,0.98,-0.44,-1.81,0.454,-0.82,6.07,1.14,-0.7,2.2,-0.3,0.6,-0.7,0.3,0.4,-0.1,-0.2,-0.3,-0.1,4.2,5.0,0.0,5.6,-0.3,1.5,-0.1,0.6,-0.4,1.6,-0.2,0.0,0.1,0.5,23.9,22.7,-0.7,-0.3,0.6,0.7,-0.3,-0.1,0.6,0.7,-0.4,-0.2,0.0,0.0,3800000.0,4000000.0,0.7,0.0,0.5,1.0,5600000.0,0.7,4100000.0,1.6,1.7,-0.1,1.8,1.3,1.0,22.93,2,74,190,1,23
2009,CLE,Zydrunas Ilgauskas,33,65,1765,18.0,0.523,0.054,0.24,11.0,21.6,16.5,6.4,0.9,3.8,10.1,23.8,,2.1,3.5,5.6,0.151,,-2.0,1.2,-0.8,0.5,0.056,0.095,21.4,ilgauzy01,9.8,19782,82,0.224,0.56,346254,0.564,-0.62,0.36,-0.24,-1.71,-0.09,-2.06,0.446,-0.92,6.07,1.14,-0.9,2.2,-0.4,0.5,0.4,0.1,-2.0,-0.4,0.0,-1.9,-0.9,4.2,5.0,0.0,5.6,-1.9,1.5,-0.9,-0.1,1.0,1.6,0.4,0.6,-2.9,0.4,27.2,25.6,-0.9,-0.4,0.5,0.6,-1.9,-0.9,-0.1,-0.1,1.0,0.4,0.6,0.7,3200000.0,3800000.0,1.3,0.1,0.53,1.1,6300000.0,0.6,3600000.0,1.3,-0.3,1.6,1.5,5.0,5.0,33.66,10,87,238,5,34
2009,CLE,Wally Szczerbiak,31,74,1527,12.1,0.581,0.422,0.266,3.5,14.2,9.0,8.3,1.0,0.5,11.0,15.4,,2.3,2.2,4.5,0.14,,-0.2,0.1,-0.1,0.7,0.072,0.068,13.7,szczewa02,9.8,19782,82,0.224,0.56,346254,0.559,-1.58,-1.27,0.03,2.3,-0.83,-1.39,0.386,-0.53,6.07,1.14,-0.2,2.2,-0.1,0.7,-0.8,0.4,0.8,-0.1,-0.4,-0.2,-0.1,4.2,5.0,0.0,5.6,-0.2,1.5,-0.1,0.6,0.0,1.7,0.0,0.1,-0.2,0.4,20.6,19.6,-0.2,-0.1,0.7,0.7,-0.2,-0.1,0.6,0.6,0.0,0.0,0.1,0.1,4100000.0,4500000.0,0.0,-0.1,0.49,0.9,5300000.0,0.9,5000000.0,1.8,1.5,0.3,2.3,3.2,3.0,31.91,9,79,244,3,32
2009,CLE,Ben Wallace,34,56,1314,12.2,0.45,0.0,0.413,12.8,19.7,16.4,4.7,2.0,4.5,15.7,7.8,,0.8,2.9,3.8,0.138,,-2.0,5.0,3.1,1.7,0.031,0.107,6.6,wallabe01,9.8,19782,82,0.224,0.56,346254,0.563,-1.2,2.11,-0.43,1.53,-0.54,1.9,0.332,0.63,6.07,1.14,3.0,2.3,1.0,1.7,0.6,-0.1,-2.5,0.0,-0.3,-2.3,-0.7,4.2,5.0,0.0,5.6,-2.3,1.5,-0.7,-0.2,5.3,1.7,1.8,1.9,-7.5,0.3,23.5,21.9,3.0,1.0,1.7,2.4,-2.3,-0.7,-0.2,-0.3,5.3,1.8,1.9,2.7,8700000.0,12300000,0.5,1.7,0.73,2.7,13600000,3.7,17900000,4.5,-0.5,5.0,9.9,4.4,4.0,34.4,12,81,240,4,34
2009,CLE,Sasha Pavlovic,25,66,1053,8.6,0.51,0.425,0.196,3.6,10.4,7.2,10.5,1.1,1.2,13.8,15.5,,0.2,1.5,1.7,0.077,,-1.8,0.3,-1.4,0.2,0.009,0.068,13.4,pavloal01,9.8,19782,82,0.224,0.56,346254,0.562,-0.96,-0.77,-0.08,0.15,-1.39,-2.96,0.266,-0.79,6.07,1.14,-1.8,2.4,-0.5,0.0,-0.4,0.2,-1.0,-0.1,-0.7,-2.0,-0.5,4.2,5.0,0.0,5.6,-2.0,1.6,-0.5,-0.1,0.2,1.8,0.0,0.1,-2.1,0.3,16.0,15.0,-1.8,-0.5,0.0,0.1,-2.0,-0.5,-0.1,-0.1,0.2,0.0,0.1,0.2,1200000.0,1300000.0,-1.0,-1.4,0.31,0.2,1900000.0,0.1,1200000.0,0.1,-0.2,0.3,0.1,2.9,3.0,25.22,5,80,220,3,25
2009,CLE,J.J. Hickson,20,62,705,12.5,0.548,0.0,0.345,9.1,18.4,13.9,2.1,1.1,3.4,16.8,18.0,,0.2,1.3,1.5,0.101,,-4.5,0.4,-4.1,-0.4,0.013,0.088,15.0,hicksjj01,9.8,19782,82,0.224,0.56,346254,0.56,-3.9,0.4,-0.27,-0.21,-1.93,-5.64,0.178,-1.0,6.07,1.14,-4.5,2.5,-0.8,-0.4,-0.9,0.1,-2.7,-0.3,-1.0,-4.7,-0.8,4.2,5.0,0.0,5.6,-4.7,1.7,-0.8,-0.5,0.2,1.9,0.0,0.1,-5.0,0.2,11.4,10.7,-4.5,-0.8,-0.4,-0.6,-4.7,-0.8,-0.5,-0.7,0.2,0.0,0.1,0.1,-1100000.0,-1700000.0,-1.9,-3.0,0.07,-0.1,700000.0,-0.2,200000.0,-1.2,-1.5,0.3,-0.5,4.2,5.0,20.41,0,81,242,4,20
